lastSaleDate,year,month,monthName,quarter,date_id
2021-07-19 00:00:00+00:00,2021,7,July,3,1
2019-08-01 00:00:00+00:00,2019,8,August,3,2
2005-10-25 00:00:00+00:00,2005,10,October,4,3
2022-10-26 00:00:00+00:00,2022,10,October,4,4
2021-08-23 00:00:00+00:00,2021,8,August,3,5
2020-02-12 00:00:00+00:00,2020,2,February,1,6
2022-07-25 00:00:00+00:00,2022,7,July,3,7
2019-09-09 00:00:00+00:00,2019,9,September,3,8
2019-03-27 00:00:00+00:00,2019,3,March,1,9
2016-01-14 00:00:00+00:00,2016,1,January,1,10
2022-11-16 00:00:00+00:00,2022,11,November,4,11
2018-07-24 00:00:00+00:00,2018,7,July,3,12
2021-06-08 00:00:00+00:00,2021,6,June,2,13
2022-07-20 00:00:00+00:00,2022,7,July,3,14
2018-12-21 00:00:00+00:00,2018,12,December,4,15
2020-07-24 00:00:00+00:00,2020,7,July,3,16
2018-08-01 00:00:00+00:00,2018,8,August,3,17
2020-11-05 00:00:00+00:00,2020,11,November,4,18
2016-08-23 00:00:00+00:00,2016,8,August,3,19
2003-12-18 00:00:00+00:00,2003,12,December,4,20
2019-02-07 00:00:00+00:00,2019,2,February,1,21
2018-09-11 00:00:00+00:00,2018,9,September,3,22
1999-12-17 00:00:00+00:00,1999,12,December,4,23
2012-08-24 00:00:00+00:00,2012,8,August,3,24
2018-10-25 00:00:00+00:00,2018,10,October,4,25
2021-05-26 00:00:00+00:00,2021,5,May,2,26
2005-08-19 00:00:00+00:00,2005,8,August,3,27
2020-05-21 00:00:00+00:00,2020,5,May,2,28
2002-11-26 00:00:00+00:00,2002,11,November,4,29
2018-11-15 00:00:00+00:00,2018,11,November,4,30
1999-10-15 00:00:00+00:00,1999,10,October,4,31
2019-08-12 00:00:00+00:00,2019,8,August,3,32
2024-08-30 00:00:00+00:00,2024,8,August,3,33
2005-05-26 00:00:00+00:00,2005,5,May,2,34
2018-09-14 00:00:00+00:00,2018,9,September,3,35
2007-07-31 00:00:00+00:00,2007,7,July,3,36
2000-05-09 00:00:00+00:00,2000,5,May,2,37
2006-02-15 00:00:00+00:00,2006,2,February,1,38
2019-08-05 00:00:00+00:00,2019,8,August,3,39
2017-05-22 00:00:00+00:00,2017,5,May,2,40
2019-04-03 00:00:00+00:00,2019,4,April,2,41
2016-09-29 00:00:00+00:00,2016,9,September,3,42
2020-11-12 00:00:00+00:00,2020,11,November,4,43
1996-09-25 00:00:00+00:00,1996,9,September,3,44
2018-05-09 00:00:00+00:00,2018,5,May,2,45
2005-09-22 00:00:00+00:00,2005,9,September,3,46
2021-12-06 00:00:00+00:00,2021,12,December,4,47
2016-01-22 00:00:00+00:00,2016,1,January,1,48
2014-01-17 00:00:00+00:00,2014,1,January,1,49
1996-09-19 00:00:00+00:00,1996,9,September,3,50
1996-07-01 00:00:00+00:00,1996,7,July,3,51
2023-09-18 00:00:00+00:00,2023,9,September,3,52
2003-01-13 00:00:00+00:00,2003,1,January,1,53
2020-10-19 00:00:00+00:00,2020,10,October,4,54
2020-09-24 00:00:00+00:00,2020,9,September,3,55
2022-01-13 00:00:00+00:00,2022,1,January,1,56
2024-05-08 00:00:00+00:00,2024,5,May,2,57
