id,date_id,owner_id,features_id,location_id,bedrooms,squareFootage,taxAssessment2021_Values,propertyTaxes2021_Total,taxAssessment2022_Values,propertyTaxes2022_Total,taxAssessment2023_Values,propertyTaxes2023_Total,bathrooms,lotSize,lastSalePrice,longitude,latitude
4588762960,1,1,1,1,2.0,1072.0,,,272101.0,5374.0,280254.0,,1.0,2269.0,0.0,-97.889553,30.245567
4588763344,2,2,2,2,3.0,1802.0,34175.0,,,1516.0,39050.0,,2.0,3571920.0,189000.0,-82.387758,36.371855
4588764208,3,3,3,3,3.0,1199.0,,,192751.0,1136.0,217321.0,,2.0,6826.0,0.0,-95.733512,29.803485
4588765072,4,4,4,4,4.0,1968.0,,,221940.0,4493.0,228590.0,4572.0,2.5,11326.0,450000.0,-123.07351,44.616687
4589028144,5,5,5,5,3.0,2227.0,,,14430.0,1753.0,14430.0,1797.0,2.0,14919.0,0.0,-89.950953,34.940001
4589028528,6,6,6,6,2.0,1149.0,,1599.0,21660.0,1571.0,26630.0,1594.0,2.0,1164.0,265000.0,-111.915184,33.665536
4589029008,7,7,7,7,4.0,2440.0,35000.0,699.0,,,435250.0,6429.0,2.0,11269.0,0.0,-95.880682,29.721438
4589029296,8,8,8,8,0.0,1362.0,,,162952.0,2558.0,,,2.0,5400.0,643000.0,-82.756962,28.18854
4589029680,9,9,9,9,4.0,3403.0,,3111.0,123206.0,,,3156.0,3.0,5663.0,478000.0,-115.072133,36.028637
4589030160,10,10,10,10,3.0,1373.0,,,,,,,1.0,10803.0,70000.0,-97.53508,35.401771
4589030544,11,11,11,11,3.0,1596.0,,,10835.0,,27654.0,1631.0,1.0,14375.0,149650.0,-85.003805,32.483794
4589030928,12,12,12,12,3.0,1320.0,73838.0,1504.0,92703.0,1658.0,107658.0,1408.0,1.0,7776.0,93300.0,-81.72666,30.404602
4589031312,13,13,13,13,3.0,1656.0,,,183540.0,3214.0,189040.0,3295.0,1.5,7250.0,400000.0,-122.479113,45.517398
4588994144,14,14,14,14,3.0,1125.0,,855.0,45002.0,842.0,930000.0,11295.0,2.0,3779.0,930000.0,-117.017705,32.766637
4589031600,15,15,15,15,3.0,1350.0,,,,,,,3.0,4640.0,79900.0,-77.572792,43.174215
4589031984,16,16,16,16,3.0,2380.0,400700.0,,514400.0,4701.0,,5329.0,2.5,6817.0,425000.0,-122.293888,48.417472
4589032368,17,17,17,17,3.0,40692.0,,,,,,,1.0,30280.0,345000.0,-73.799305,40.792124
4589032848,18,18,18,18,3.0,2293.0,,,250577.0,5717.0,275141.0,5555.0,2.0,5340.0,0.0,-106.252771,31.730992
4589033232,19,19,19,19,1.0,780.0,180000.0,2487.0,180000.0,2493.0,180000.0,1806.0,1.0,15922.0,474500.0,-118.252594,34.044864
4589033616,20,20,20,20,3.0,878.0,,,14900.0,,20600.0,,1.0,6098.0,40496.0,-82.944081,42.417281
4589034384,21,21,21,21,4.0,1248.0,189900.0,3686.0,,3796.0,247000.0,4643.0,1.0,7396.0,0.0,-97.092156,32.83643
4589034576,22,22,22,22,0.0,0.0,,,,,,,0.0,0.0,9728000.0,-122.423874,37.800207
4589035056,23,23,23,23,4.0,2687.0,,,,,491920.0,6387.0,3.0,14797.0,333000.0,-117.843329,33.966132
4589035440,24,24,24,24,2.0,2144.0,,,,,244370.0,12141.0,2.0,15246.0,100000.0,-81.534554,40.972725
4589035824,25,25,25,25,0.0,975.0,,,,,100100.0,1199.0,1.0,12497.0,140000.0,-85.855844,38.095501
4589036496,26,26,26,26,4.0,2496.0,,,,,413800.0,,3.5,8032.0,450000.0,-77.503478,38.370734
4589037552,27,27,27,27,4.0,2280.0,42157.0,4108.0,40978.0,4055.0,54310.0,4777.0,3.5,6970.0,314210.0,-105.172026,40.138891
